"Term","Estimate"
"ar1",-0.871066140776898
"intercept",25.054248891666
"lag_findwork_diff",-0.0195445542651003
"log_poisk_raboti",2.25132114060503
"lag_log_poisk_raboti",-0.667659246111526
"log_jumush",0.122565703075333
"salary_diff",0.00573838416564142
"lag_log_jumush_izdeim",0.121408129770151
"log_rabota",-2.18010936339214
"lag_findwork_ratio",-0.730453479240289
"lag_log_aviabilet_bishkek",0.058286528680442
"lag_salary_diff",0.00356270474446505
"log_jumush_izdeim",0.0436816968347616
"log_bilet_bishkek",0.0908371159954061
"lag_log_bilet_bishkek",0.0783855563157433
"log_vakansii",-1.62145222009081
