"Quarter","Actual","Predictions","Lower_Bound","Upper_Bound","Date"
2010 Q1,89145,NA,NA,NA,2010-04-01
2010 Q2,130871,NA,NA,NA,2010-07-01
2010 Q3,191210,NA,NA,NA,2010-10-01
2010 Q4,141683,NA,NA,NA,2011-01-01
2011 Q1,126678,NA,NA,NA,2011-04-01
2011 Q2,161545,NA,NA,NA,2011-07-01
2011 Q3,163533,NA,NA,NA,2011-10-01
2011 Q4,141204,NA,NA,NA,2012-01-01
2012 Q1,135669,NA,NA,NA,2012-04-01
2012 Q2,163802,NA,NA,NA,2012-07-01
2012 Q3,164338,NA,NA,NA,2012-10-01
2012 Q4,160161,NA,NA,NA,2013-01-01
2013 Q1,170630,NA,NA,NA,2013-04-01
2013 Q2,193458,NA,NA,NA,2013-07-01
2013 Q3,218285,NA,NA,NA,2013-10-01
2013 Q4,181045,NA,NA,NA,2014-01-01
2014 Q1,164514,NA,NA,NA,2014-04-01
2014 Q2,184627,NA,NA,NA,2014-07-01
2014 Q3,198075,NA,NA,NA,2014-10-01
2014 Q4,178448,NA,NA,NA,2015-01-01
2015 Q1,165212,NA,NA,NA,2015-04-01
2015 Q2,218175,NA,NA,NA,2015-07-01
2015 Q3,244426,NA,NA,NA,2015-10-01
2015 Q4,214583,NA,NA,NA,2016-01-01
2016 Q1,157852,NA,NA,NA,2016-04-01
2016 Q2,195606,NA,NA,NA,2016-07-01
2016 Q3,228639,NA,NA,NA,2016-10-01
2016 Q4,209945,NA,NA,NA,2017-01-01
2017 Q1,NA,207141.707939066,184685.757194864,229597.658683268,2017-04-01
2017 Q2,NA,168046.466394818,146823.636113933,189269.296675702,2017-07-01
2017 Q3,NA,188180.435876318,167500.048164574,208860.823588061,2017-10-01
2017 Q4,NA,233626.101106691,212334.104931571,254918.097281811,2018-01-01
2018 Q1,NA,212398.764163557,191065.192572322,233732.335754792,2018-04-01
2018 Q2,NA,218588.488702476,187256.907943527,249920.069461425,2018-07-01
2018 Q3,NA,270260.559432743,232748.228768701,307772.890096784,2018-10-01
2018 Q4,NA,252890.742818574,217093.725216361,288687.760420787,2019-01-01
2019 Q1,NA,232292.274207985,211210.46267762,253374.085738349,2019-04-01
2019 Q2,NA,211234.903710891,177348.24213068,245121.565291101,2019-07-01
2019 Q3,NA,226457.734638602,191811.168240519,261104.301036685,2019-10-01
2019 Q4,NA,241901.013457548,223423.252419085,260378.774496011,2020-01-01
2020 Q1,NA,226218.935135188,206221.891612525,246215.978657852,2020-04-01
2020 Q2,NA,239105.339327376,206323.124885164,271887.553769587,2020-07-01
2020 Q3,NA,291176.029972734,242450.419492496,339901.640452972,2020-10-01
2020 Q4,NA,296021.020149959,246607.137724922,345434.902574996,2021-01-01
2021 Q1,NA,292452.510074444,241407.043215423,343497.976933465,2021-04-01
2021 Q2,NA,283985.729248257,213411.203059835,354560.255436679,2021-07-01
2021 Q3,NA,294294.353755401,215089.199108256,373499.508402545,2021-10-01
2021 Q4,NA,307780.693184426,243059.336932481,372502.04943637,2022-01-01
2022 Q1,NA,276837.186773939,207505.800567871,346168.572980008,2022-04-01
2022 Q2,NA,277447.047093506,202567.071890767,352327.022296245,2022-07-01
2022 Q3,NA,319188.524198422,240311.864560553,398065.183836291,2022-10-01
2022 Q4,NA,316925.928639979,234534.584749697,399317.272530262,2023-01-01
2023 Q1,NA,310422.301994998,227694.38528684,393150.218703157,2023-04-01
2023 Q2,NA,276613.456560681,185468.73940657,367758.173714792,2023-07-01
2023 Q3,NA,259963.735156957,185091.332657762,334836.137656151,2023-10-01
2023 Q4,NA,167346.905083842,76344.3199793964,258349.490188288,2024-01-01
2024 Q1,NA,151256.306924175,90593.4692780371,211919.144570312,2024-04-01
2024 Q2,NA,165029.366957756,117016.967047169,213041.766868343,2024-07-01
2024 Q3,NA,240967.752151308,209411.454900407,272524.049402209,2024-10-01
2024 Q4,NA,318375.420038409,267740.261464216,369010.578612602,2025-01-01
